"Who is Completing Form?: ","Shift? ","Todays Date:","Cash at Start of Shift","Grab?","Food Panda?","Aroi Dee?","QR / Scan?","Cash Sales?","Total Sales Amount:","Salary / Wages","Shopping","Gas Expense","Description of all Items","Total Expenses (Salary+Shopping+Gas+Other)","Total Cash in the Register","How Many Burger Buns In Stock?","How Many Rolls Ordered?","Weight of Burger Meat","Salad ","Tomatos ","White Cabbage ","Purple Cabbage ","Onions ","Mayonnaise","Mustard","Cajun Spice ","Dill Pickles","Sweet Pickles ","Crispy Fried Onions ","BBQ Sauce (Smokey)","Bacon Short","Bacon Long ","Sweet Potato Fries ","Cheese ","Chicken Nuggets ","Onion Rings ","French Fries ","Jalapenos ","Ketchup","Chili Sauce (Sriracha) ","Oil (Fryer)","BBQ Sauce","Pepper","Salt ","Coke","Coke Zero","Schweppes Manow","Fanta Strawberry","Orange Fanta","Sprite","Kids Apple Juice","Kids Orange","Soda Water","Bottle Water","Clear Food Wrap","Aluminum Foil ","Plastic Hand Gloves (Meat) ","Rubber Gloves (Small)","Rubber Gloves (Medium)","Rubber Gloves (Large)","Alcohol Sanitiser ","Dish Washing Liquid ","Paper Towel (Long) ","Sponge (dish washing) ","Paper Towel (Short) ","Rolls Sticky Tape","Any Other Items (Not Listed)","French Fries Box","French Fries Paper","Paper Food Bags","Fork & Knife Set","Loaded Fries Boxes","Burger Paper (12 x 14) ","Wooden Flag Skewers","Printer Rolls","Takeaway Sauce Containers &","Coleslaw Container","Plastic Carry Bags","Packaging Labels","Packaging Other (Not Listed Above)","Confirm that you have ordered Rolls?","Timezone","Submission Date","URL"
"Ael","Night Shift","2025-07-02","2500.00","5377.00","0.00","0.00","2233.00","6729.00","14339.00","2025.00","74.00","0.00","For transfer 15","2114.00","7115.00",21,50,2790,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0,14,26,15,14,15,14,9,32,15,10,0,0,0,0,0,0,0,0,1,0,0,0,"Carry Bags 8×16=2
9×18=2","2",0,0,0,0,0,0,0,0,0,0,0,"0","Yes I ordered Rolls","Asia/Bangkok (GMT+07:00)","Jul 3rd 2025, 2:21 am","https://www.smashbrosburgers.com/stock-ordering-items"
"Ael","Night Shift","2025-07-01","2500.00","5248.00","0.00","0.00","929.00","4701.00","10877.00","2025.00","152.00","0.00","Give back to cash box 697
For transfer 15","2889.00","4311.00",44,0,6210,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,20,25,17,15,11,15,13,32,11,8,0,0,0,0,0,1,0,0,0,0,0,0,"Flour for onion rings 2
Straws 1","0",0,0,0,0,0,0,0,0,0,0,0," 0","No I didn't Order Rolls","Asia/Bangkok (GMT+07:00)","Jul 2nd 2025, 2:05 am","https://www.smashbrosburgers.com/stock-ordering-items"
"Ael","Night Shift","2025-06-30","2500.00","4033.00","0.00","0.00","459.00","1816.00","6308.00","2025.00","488.00","0.00","Oil, salad ","2513.00","2500.00",37,40,6030,1,0,0,0,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,23,36,19,16,13,16,14,32,12,13,0,0,0,0,0,0,0,0,0,0,0,0,"Flour _1","0",0,0,0,0,0,1,"",0,0,0,0,"0","Yes I ordered Rolls","Asia/Bangkok (GMT+07:00)","Jul 1st 2025, 2:04 am","https://www.smashbrosburgers.com/stock-ordering-items"
"Ael","Night Shift","2025-06-28","2500.00","4356.00","0.00","0.00","1461.00","6547.00","12364.00","2700.00","384.00","480.00","For transfer 15
","3575.00","5525.00",86,0,7740,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,25,33,15,11,10,16,14,32,15,13,0,0,0,0,0,0,0,0,0,0,1,0,"0","2",2,0,1,0,0,0,0,2,0,0,0,"0","No I didn't Order Rolls","Asia/Bangkok (GMT+07:00)","Jun 29th 2025, 2:37 am","https://www.smashbrosburgers.com/stock-ordering-items"
"Ael","Night Shift","2025-06-27","2500.00","6114.00","0.00","0.00","929.00","4145.00","11188.00","2100.00","312.00","0.00","0","2412.00","4233.00",32,120,5760,1,2,0,0,3,0,"","",5,0,0,0,0,2,0,2,0,0,3,0,0,0,0,0,0,0,11,12,16,12,9,11,15,14,9,13,0,0,0,0,0,0,0,0,1,0,0,0,"Better 2","0",2,0,0,0,0,0,0,0,0,0,0,"0","Yes I ordered Rolls","Asia/Bangkok (GMT+07:00)","Jun 28th 2025, 2:04 am","https://www.smashbrosburgers.com/stock-ordering-items"
"Ael","Night Shift","2025-06-26","2500.00","6540.00","0.00","0.00","1447.00","5127.00","13114.00","2100.00","408.00","0.00","Milk, plastic jar, egg","2508.00","5119.00",24,50,5400,1,1,0,0,1,3,0,0,3,3,0,0,0,0,0,2,0,0,3,0,1,0,1,0,0,0,11,13,16,14,10,15,15,32,9,18,0,0,0,0,0,0,0,0,0,0,0,0,"Butter 3","0",0,0,0,0,0,0,0,0,0,0,0,"0","Yes I ordered Rolls","Asia/Bangkok (GMT+07:00)","Jun 27th 2025, 2:13 am","https://www.smashbrosburgers.com/stock-ordering-items"
"Ael","Night Shift","2025-06-25","2500.00","5430.00","0.00","0.00","2225.00","5302.00","12957.00","2700.00","140.00","480.00","For petrol 150","3470.00","4332.00",30,50,5130,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,20,16,18,16,14,10,15,35,12,4,0,0,0,0,1,1,0,0,0,0,0,0," Butter 2","0",0,0,0,0,0,0,0,2,0,0,0," 0","","Asia/Bangkok (GMT+07:00)","Jun 26th 2025, 2:14 am","https://www.smashbrosburgers.com/stock-ordering-items"
"Ael","Night Shift","2025-06-24","2500.00","6738.00","0.00","0.00","1208.00","3312.00","11258.00","1900.00","140.00","0.00","Butter 140","2040.00","3772.00",29,50,7200,2,0,0,1,0,3,0,0,0,0,0,0,1,1,0,2,3,0,3,0,0,0,1,0,0,0,19,16,19,16,15,12,15,35,13,12,0,0,0,0,0,0,0,0,1,0,1,0,"0","2",1,0,0,0,2,0,2,0,0,0,0," 0","Yes I ordered Rolls","Asia/Bangkok (GMT+07:00)","Jun 25th 2025, 2:05 am","https://www.smashbrosburgers.com/stock-ordering-items"
"Ael","Night Shift","2025-06-23","2500.00","2490.00","0.00","0.00","1797.00","3333.00","7620.00","2100.00","149.00","480.00","For transfer 15","2744.00","3089.00",71,0,12600,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,23,20,20,17,18,15,18,35,14,18,0,0,0,0,0,0,0,0,0,0,0,0,"Spray cleaning liquid ","0",0,0,0,0,0,0,0,0,0,0,0,"0","No I didn't Order Rolls","Asia/Bangkok (GMT+07:00)","Jun 24th 2025, 2:22 am","https://www.smashbrosburgers.com/stock-ordering-items"
"Ael","Night Shift","2025-06-22","2500.00","5272.00","0.00","0.00","877.00","5524.00","11678.00","2700.00","130.00","0.00","For transfer 15","2845.00","5184.00",99,0,8910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,21,20,17,18,18,18,35,17,2,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,0,0,0,0,0,0,"0","No I didn't Order Rolls","Asia/Bangkok (GMT+07:00)","Jun 23rd 2025, 2:10 am","https://www.smashbrosburgers.com/stock-ordering-items"
