Item,Internal Category,Supplier,Brand,Cost,Purchase Quantity,Unit Measurement,Portion Size,Min Stock Amount,Last Review Date
Topside Beef,Meat,Makro,Harvey Beef,฿319.00,1kg,kg,95 gr,10kg,20.08.25
Brisket Point End,Meat,Makro,Harvey Beef,฿299.00,1kg,kg,95 gr,,20.08.25
Chuck Roll Beef,Meat,Makro,Harvey Beef,฿319.00,1kg,kg,95 gr,,20.08.25
Other Beef (Mixed),Meat,Makro,Harvey Beef,฿310.00,1kg,kg,95 gr,,20.08.25
,,,,,,,,,
Coke,Drinks,Makro,325 ml,฿315.00,24,1 box 24 Cans,Each,24,20.08.25
Coke Zero,Drinks,Makro,325 ml,฿315.00,24,1 box 24 Cans,Each,16,20.08.25
Fanta Orange,Drinks,Makro,325 ML,฿81.00,6,1 box 6 Cans,Each,12,20.08.25
Fanta Strawberry,Drinks,Makro,325 ML,฿81.00,6,1 box 6 Cans,Each,12,20.08.25
Schweppes Manow,Drinks,Makro,330 ML,฿84.00,6,1 box 6 Cans,Each,12,20.08.25
Kids Juice (Orange),Drinks,Makro,200 ML,฿99.00,6,1 box 6 Cans,Each,12,20.08.25
Kids Juice (Apple),Drinks,Makro,200 ML,฿99.00,6,1 box 6 Cans,Each,12,20.08.25
Sprite,Drinks,Makro,325 ML,฿81.00,6,1 box 6 Cans,Each,12,20.08.25
Soda Water,Drinks,Makro,325 ML,฿52.00,6,1 box 6 Cans,Each,12,20.08.25
Bottled Water,Drinks,Makro,0.6 L,฿49.00,12,1 box 12 Bottles,Each,12,20.08.25
,,,,,,,,,
Salad (Iceberg Lettuce),Fresh Food,Makro,Makro,฿99.00,N/A,kg,20 gr,N/A,20.08.25
Milk,Fresh Food,Makro,Makro,฿80.00,1 litre,litre,TBA,N/A,20.08.25
Burger Bun,Fresh Food,Bakery,Bakery,฿8.00,1,each,each,N/A,20.08.25
Tomatos,Fresh Food,Makro,Makro,฿89.00,1kg,kg,25 gr,N/A,20.08.25
White Cabbage,Fresh Food,Makro,Makro,฿45.00,1kg,kg,,N/A,20.08.25
Purple Cabbage,Fresh Food,Makro,Makro,฿41.25,1kg,kg,,N/A,20.08.25
Onions Bulk 10kg,Fresh Food,Makro,Makro,฿290.00,10kg,kg,20 gr,N/A,20.08.25
Onions (small bags),Fresh Food,Makro,Makro,฿29.00,1kg,kg,20 gr,N/A,20.08.25
Cheese,Fresh Food,Makro,Horecav,฿359.00,1 kg,kg,1 slice,N/A,20.08.25
Bacon Short,Fresh Food,Makro,305/66,฿305.00,1 kg,kg,,N/A,20.08.25
Bacon Long,Fresh Food,Makro,BMP,฿430.00,2 kg,kg,20 gr,N/A,20.08.25
Jalapenos (tin),Fresh Food,Makro,Aro,฿190.00,1 kg,kg,20 grams,N/A,20.08.25
Jalapenos (fresh),Fresh Food,Chiang Rai - Shoppee,Thai Peppers,฿150.00,1 kg,kg,30 grams,N/A,20.08.25
,,,,,,,,,
French Fries 7mm,Frozen Food,Makro,Savepak 7mm,฿129.00,2kg,kg,150 gr,N/A,20.08.25
Chicken Nuggets,Frozen Food,Makro,Aro,฿155.00,1kg,kg,,N/A,20.08.25
Chicken Fillets,Frozen Food,Makro,,฿199.00,1kg,kg,93 grams,N/A,20.08.25
Sweet Potato Fries,Frozen Food,Makro,Aro,฿145.00,1kg,kg,150 grams,N/A,20.08.25
,,,,,,,,,
Oil (Fryer),Kitchen Supplies,Makro,Bonus Palm Oil,฿195.00,5 L,litre,N/A,N/A,20.08.25
Plastic Food Wrap,Kitchen Supplies,Makro,Aro,฿375.00,500M,each,each,N/A,20.08.25
Paper Towel Long,Kitchen Supplies,Makro,savepack,฿79.00,1 bag 6 pieces,each,each,N/A,20.08.25
Paper Towel Short (Serviettes),Kitchen Supplies,Makro,Aro,฿116.00,`,each,each,N/A,20.08.25
