Item,Category,Supplier,Brand,Packaging Qty,Cost,Average Menu Portion,Last Review Date
Topside Beef,Meat,Makro,Harvey Beef,Per kg,฿319.00,95 gr,20.08.25
Brisket Point End,Meat,Makro,Harvey Beef,Per kg,฿299.00,95 gr,20.08.25
Chuck Roll Beef,Meat,Makro,Harvey Beef,Per kg,฿319.00,95 gr,20.08.25
Other Beef (Mixed),Meat,Makro,Harvey Beef,Per kg,฿310.00,95 gr,20.08.25
Coke,Drinks,Makro,Coke,6 Cans,฿84.00,Each,20.08.25
Coke Zero,Drinks,Makro,Coke,6 Cans,฿84.00,Each,20.08.25
Fanta Orange,Drinks,Makro,Fanta,6 Cans,฿81.00,Each,20.08.25
Fanta Strawberry,Drinks,Makro,Fanta,6 Cans,฿81.00,Each,20.08.25
Schweppes Manow,Drinks,Makro,Schweppes,6 Cans,฿84.00,Each,20.08.25
Kids Juice (Orange),Drinks,Makro,Tipco,6 Cans,฿99.00,Each,20.08.25
Kids Juice (Apple),Drinks,Makro,Tipco,6 Cans,฿99.00,Each,20.08.25
Sprite,Drinks,Makro,Sprite,6 Cans,฿81.00,Each,20.08.25
Singha Red Soda,Drinks,Makro,Singha,6 Cans,฿81.00,Each,20.08.25
Singha Pink Soda,Drinks,Makro,Singha,6 Cans,฿81.00,Each,20.08.25
Singha Yellow Soda,Drinks,Makro,Singha,6 Cans,฿81.00,Each,20.08.25
Soda Water,Drinks,Makro,Leo,6 Cans,฿52.00,Each,20.08.25
Bottled Water,Drinks,Makro,Nestle,12 Bottles,฿49.00,Each,20.08.25
Salad (Iceberg Lettuce),Fresh Food,Makro,Makro,per 1kg,฿99.00,20 gr,20.08.25
Milk,Fresh Food,Makro,Makro,1 litre,฿80.00,TBA,20.08.25
Burger Bun,Fresh Food,Bakery,Bakery,1,฿8.00,each,20.08.25
Tomatos,Fresh Food,Makro,Makro,per 1kg,฿89.00,25 gr,20.08.25
White Cabbage,Fresh Food,Makro,Makro,per 1kg,฿45.00,,20.08.25
Purple Cabbage,Fresh Food,Makro,Makro,per 1kg,฿41.25,,20.08.25
Onions Bulk 10kg,Fresh Food,Makro,Makro,10kg bag,฿290.00,20 gr,20.08.25
Onions (small bags),Fresh Food,Makro,Makro,1kg pack,฿29.00,20 gr,20.08.25
Cheese,Fresh Food,Makro,Horecav,1 kg pack,฿359.00,1 slice,20.08.25
Bacon Short,Fresh Food,Makro,305/66,1 kg pack,฿305.00,,20.08.25
Bacon Long,Fresh Food,Makro,BMP,1 kg pack,฿430.00,20 gr,20.08.25
Jalapenos (tin),Fresh Food,Makro,Aro,1 kg Tin,฿190.00,20 grams,20.08.25
Jalapenos (fresh),Fresh Food,Chiang Rai - Shoppee,Thai Peppers,1 kg bag,฿150.00,30 grams,20.08.25
French Fries 7mm,Frozen Food,Makro,Savepak 7mm,2kg bag,฿129.00,150 gr,20.08.25
Chicken Nuggets,Frozen Food,Makro,Aro,1kg bag,฿155.00,,20.08.25
Chicken Fillets,Frozen Food,Makro,,1kg bag,฿199.00,93 grams,20.08.25
Sweet Potato Fries,Frozen Food,Makro,Aro, bag,฿145.00,150 grams,20.08.25
Oil (Fryer),Kitchen Supplies,Makro,Bonus Palm Oil,5 L drum,฿195.00,N/A,20.08.25
Plastic Food Wrap,Kitchen Supplies,Makro,Aro,500M,฿375.00,each,20.08.25
