Food costings / Supplier Details	Cost	Unit Measurement	Supplier	Brand	Serving Size / Portion (weight)	Cost per Serve
Topside Beef	฿319.00	per kg	Makro	Harvery Beef	95 gr	
Brisket Point End	฿299.00	per kg	Makro	Harvery Beef	95 gr	
Chuck Roll Beef	฿319.00	per kg	Makro	Harvey Beef	95 gr	
Salad (Iceberg Lettuce)	฿99.00	99 baht per kg	Makro	Makro	20 gr	
Burger Bun	฿8.00	each slice	Bakery	Bakery	each	
Tomatos	฿89.00	89 baht per kg	Makro	Makro	25 gr	
White Cabbage	฿45.00	45 baht pre kg	Makro	Makro		
Purple Cabbage	฿41.25	45 baht pre kg	Makro	Makro		
Onions Bulk 10kg	฿290.00	per kg	Makro	Makro	20 gr	
Onions	฿29.00	29 baht pre kg	Makro	Makro		
French Fries	฿129.00	1 bag is 2 kg	Makro	Savepak 7mm	130 grams	
French Fries	฿165.00	1 bag is 2kg	Makro	7mm - MY Frozen French Fries		
Onion Rings	฿189.00	1 bag 1kg	Makro	Farm Frites		
Chicken Nuggets	฿155.00	1 bag 1 kg	Makro	Aro		
Cajun Fries	฿508.00	1 box 510 G	Makro	McCormick		
Sweet Potato Fries	฿145.00	1 bag 1 kg	Makro	Aro		
Crispy Fried Onions	฿79.00	1 bag 500g	Makro	Fried Shallots		
Cheese	฿359.00	each slice	Makro	Horecav - 84 slices per kg	1 slice	
Bacon Short	฿305.00	1 kg	Makro	305/66		
Bacon Long	฿430.00	1kg	Makro	BMP	20 gr	
Pickles(standard dill pickles)	฿89.00	480 g	Makro	Sis	20 gr	
Pickles Sweet (standard)	฿89.00	480 gr	Makro	SIS		
Pickles Dill (larger jar - premium)	฿190.00	670g	Makro	Develey		
Jalapenos	฿190.00	1 kg	Makro	Aro		
Mustard	฿88.00	1kg	Makro	Aro		
Mayonnaise	฿90.00	1 kg	Makro	Aro		
Tomato Sauce	฿175.00	5 L	Makro	Aro		
Chili Sauce (Sriracha)	฿108.00	1000g	Makro	Aro		
BBQ Sauce	฿110.00	500g	Makro	HEINZ	20 gr	
Sriracha Sauce	฿108.00	950g	Makro	Aro		
						
Oil (Fryer)	฿195.00	5 L	Makro	Bonus Palm Oil		
Drinks	Cost			Size		
Coke	฿315.00	1 box 24 Cans	Makro	325 ml		
Coke Zero	฿315.00	1 box 24 Cans	Makro	325 ml		
Fanta Orange	฿81.00	1 box 6 Cans	Makro	325 ML		
Fanta Strawberry	฿81.00	1 box 6 Cans	Makro	325 ML		
Schweppes Manow	฿84.00	1 box 6 Cans	Makro	330 ML		
Kids Juice (Orange)	฿99.00	1 box 6 Cans	Makro	200 ML		
Kids Juice (Apple)	฿99.00	1 box 6 Cans	Makro	200 ML		
Sprite	฿81.00	1 box 6 Cans	Makro	325 ML		
Soda Water	฿52.00	1 box 6 Cans	Makro	325 ML		
Water	฿49.00	1 box 12 Bottles	Makro	0.6 L		
Packaging						
French Fries Box	฿105.00	1 bag 50 piece	Makro	Fest		
Plastic Carry Bags (Size- 6×14)	฿36.00	500h	Makro	Koi Fish		
Plastic Carry Bags (Size - 9×18)	฿36.00	500g	Makro	Koi Fish		
Plastic Food Wrap	฿375.00	500M	Makro	Aro		
Paper Towel Long	฿79.00	1 bag 6 pieces	Makro	savepack		
Paper Towel Short (Serviettes)	฿116.00	1 bag 6 pieces	Makro	Aro		
Food Gloves (Large)	฿133.00	1 box 100 pieces	Makro	Satory		
Food Gloves (Medium)	฿133.00	1 box 100 pieces	Supercheap	Satory		
Food Gloves (Small)	฿133.00	1 box 100 pieces	Makro	Satory		
Aluminum Foil	฿385.00	29.5 CM 90M	Makro	Aro		
Plastic Meat Gloves	฿22.50	1 bag 24 pieces	Makro	M Glover		
Kitchen Cleaner	฿149.00	3.5 ltre	Makro	Aro Kitchen Cleaner		
Alcohol Sanitiser	฿69.00	450g	Makro	Alsoff		
Brown Paper Food Bags	฿139.00	50 Bags 	Online	Thaibox Food Lazada (12.5cm x 20cm x 30cm) - Price includes postage		
Loaded Fries Boxes	฿171.00	50 Boxes	Online	Pac Away - Lazada 17x11x4.5		
Packaging Labels	฿50.00	45 per sheet		depends on size, small stickers are 50 THB per sheet, average 45 stickers per sheet. 1 sticker per order takeaway		
Packaging Labels	฿50.00	45 per sheet				
Salt (Coarse Sea Salt)	฿121.00	1kg	Online	Salt Odyssey - Lazada		
