Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Smash Bros Burgers (Rawai)],Price [Smash Bros Burgers (Rawai)],In stock [Smash Bros Burgers (Rawai)],Low stock [Smash Bros Burgers (Rawai)],"Modifier - ""Kids Drink Options (Set)""","Modifier - ""Make Fries Great Again""","Modifier - ""Drink Options (Sets)""","Modifier - ""Loaded Fries (Options)""","Modifier - ""Kids Sauce Options""","Modifier - ""🍔***Upgrade Burger to Set*** 🍔🥤🍟""","Modifier - ""🛑🛑 PLEASE NO 🛑🛑""","Modifier - ""Kids Next Level Burger Options""","Modifier - ""⚡⚡SUPER UPGRADE fries, slaw, drink⚡⚡""","Modifier - ""Mega Upgrade Mega Savings Single Burger""","Modifier - ""Burger Extra Options ตัวเลือกเบอร์เกอร์""","Modifier - ""Mix and Match - Burger Option""","Modifier - ""Mix and Match - Drink Options"""
bacon,10055,Bacon Long,Ingredients,,N,,,,,,,5.00,,,,N,N,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N
bacon-short,10064,Bacon Short,Ingredients,,N,,,,,,,5.00,,,,N,N,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N
bottle-water,10031,Bottle Water,Drinks,<p>1 Bottle of Drinking Water</p>,N,,,,,,,4.08,,,,N,Y,40.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N
burger-bun,10048,Burger Bun,Ingredients,,N,,,,,,,8.00,,,,Y,N,variable,-4083.000,,N,N,N,N,N,N,N,N,N,N,N,N,N
butter,10054,Butter,Ingredients,,N,,,,,,,5.00,,,,N,N,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N
cajun-fries,10018,Cajun Fries,Side Orders,<p>1 Serving of Cajun Fries - 130 grams</p>,N,,,,,,,,,10056,1.000,N,Y,99.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N
,,,,,,,,,,,,,,10057,1.000,,,,,,,,,,,,,,,,,,
cajun-seasoning,10057,Cajun Seasoning,Ingredients,,N,,,,,,,7.00,,,,N,N,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N
cheese-slice,10051,Cheese Slice,Ingredients,,N,,,,,,,4.30,,,,N,N,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N
cheesy-bacon-fries,10010,Cheesy Bacon Fries,Side Orders,"<p>Single serving of French fries with bacon rasher, cheese and crunchy onions.</p>",N,,,,,,,,,10056,1.000,N,Y,119.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N
,,,,,,,,,,,,,,10051,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,10052,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,10064,1.000,,,,,,,,,,,,,,,,,,
chicken-fillet,10063,Chicken Fillet,Ingredients,,N,,,,,,,20.00,,,,N,N,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N
chicken-nuggets-(ไก่กรอบ),10002,Chicken Nuggets,Side Orders,"<p>Chicken Nuggets - Serving sizes = 6, 9, 12, 24</p>",N,Nuggets (ไก่กรอบ),12,,,,,36.00,,,,N,Y,129.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N
chicken-nuggets-(ไก่กรอบ),10016,,,,,,24,,,,,65.40,,,,,Y,199.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N
chicken-nuggets-(ไก่กรอบ),10000,,,,,,6,,,,,16.35,,,,,Y,89.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N
chicken-nuggets-(ไก่กรอบ),10001,,,,,,9,,,,,27.00,,,,,Y,99.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N
chipotle-mayo,10062,Chipotle Mayo,Ingredients,,N,,,,,,,,,10060,1.000,N,N,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N
,,,,,,,,,,,,,,10061,1.000,,,,,,,,,,,,,,,,,,
chipotle-sauce,10061,Chipotle Sauce,Ingredients,,N,,,,,,,1.80,,,,N,N,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N
coke-can,10012,Coke Can,Drinks,<p>1 Can of Coke</p>,N,,,,,,,13.12,,,,Y,Y,40.00,-1207.000,,N,N,N,N,N,N,N,N,N,N,N,N,N
coke-zero,10013,Coke Zero,Drinks,<p>1 Can of Coke Zero</p>,N,,,,,,,13.12,,,,Y,Y,40.00,-93.000,,N,N,N,N,N,N,N,N,N,N,N,N,N
coleslaw-with-bacon,10025,Coleslaw with Bacon,Side Orders,<p>1 serving of coleslaw with bacon</p>,N,,,,,,,,,10058,1.000,N,Y,99.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N
,,,,,,,,,,,,,,10059,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,10064,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,10060,1.000,,,,,,,,,,,,,,,,,,
chicken-fillet-burger-(เบอร์เกอร์ไก่ชิ้น),10066,Crispy Chicken Fillet Burger (เบอร์เกอร์ไก่ชิ้น),Smash Burgers,<p>Chicken fillet Burger&nbsp;</p>,N,,,,,,,,,10063,3.000,N,Y,169.00,,,N,N,N,N,N,Y,Y,N,N,N,Y,N,N
,,,,,,,,,,,,,,10060,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,10050,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,10048,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,10054,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,10046,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,10051,1.000,,,,,,,,,,,,,,,,,,
double-set-(meal-deal),10032,Double Set (Meal Deal),Smash Burger Sets (Meal Deals),<p>Double Smash with Drink and Fries</p>,N,,,,,,,,,10006,1.000,N,Y,299.00,,,N,N,Y,N,N,N,Y,N,N,N,Y,N,N
,,,,,,,,,,,,,,10056,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,10012,1.000,,,,,,,,,,,,,,,,,,
fanta-orange,10027,Fanta Orange,Drinks,<p>1 Can of Fanta Orange</p>,N,,,,,,,13.12,,,,Y,Y,40.00,-54.000,,N,N,N,N,N,N,N,N,N,N,N,N,N
fanta-strawberry,10028,Fanta Strawberry,Drinks,<p>1 Can of Fanta Strawberry</p>,N,,,,,,,13.12,,,,Y,Y,40.00,-17.000,,N,N,N,N,N,N,N,N,N,N,N,N,N
french-fries,10030,French Fries,Side Orders,<p>1 serving of French Fries 130 grams</p>,N,,,,,,,,,10056,1.000,N,Y,89.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N
fries,10056,Fries,Ingredients,,N,,,,,,,9.10,,,,N,N,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N
jalapeños,10053,Jalapeños,Ingredients,,N,,,,,,,3.65,,,,N,N,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N
