Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
Chicken Nuggets (12),10002,Side Orders,1.000,129.00,0.000,0.00,0.00,129.00,36.00,93.00,72.09%,0.00
Crispy Chicken Fillet Burger (เบอร์เกอร์ไก่ชิ้น),10066,Smash Burgers,2.000,458.00,0.000,0.00,0.00,458.00,166.70,291.30,63.60%,0.00
French Fries,10030,Side Orders,5.000,445.00,0.000,0.00,0.00,445.00,45.50,399.50,89.78%,0.00
Loaded Fries (Original),10035,Side Orders,1.000,170.00,0.000,0.00,0.00,170.00,41.33,128.67,75.69%,0.00
Onion Rings,10020,Side Orders,1.000,99.00,0.000,0.00,0.00,99.00,10.35,88.65,89.55%,0.00
Schweppes Lime,10021,Drinks,1.000,40.00,0.000,0.00,0.00,40.00,12.70,27.30,68.25%,0.00
Single Meal Set (Meal Deal),10033,Smash Burger Sets (Meal Deals),2.000,438.00,0.000,0.00,0.00,438.00,163.40,274.60,62.69%,0.00
Single Smash Burger (ซิงเกิ้ล),10004,Smash Burgers,6.000,1000.00,0.000,0.00,0.00,1000.00,356.88,643.12,64.31%,0.00
Sprite,10026,Drinks,2.000,80.00,0.000,0.00,0.00,80.00,26.32,53.68,67.10%,0.00
Super Double Bacon & Cheese Set (Meal Deal),10036,Smash Burger Sets (Meal Deals),7.000,2273.00,0.000,0.00,255.20,2017.80,882.35,1135.45,56.27%,0.00
Super Double Bacon and Cheese (ซูเปอร์ดับเบิ้ลเบคอน),10019,Smash Burgers,5.000,1200.00,0.000,0.00,0.00,1200.00,519.15,680.85,56.74%,0.00
Triple Smash Burger (สาม),10009,Smash Burgers,3.000,870.00,0.000,0.00,0.00,870.00,384.24,485.76,55.83%,0.00
Ultimate Double (คู่),10006,Smash Burgers,3.000,700.00,1.000,220.00,0.00,480.00,187.56,292.44,60.93%,0.00
🐔 Big Rooster Sriracha Chicken ไก่ศรีราชาตัวใหญ่,10068,Smash Burgers,2.000,498.00,0.000,0.00,0.00,498.00,179.10,318.90,64.04%,0.00
