Modifier name,Option name,Quantity sold,Gross sales,Quantity refunded,Refunds,Net sales
Burger Extra Options ตัวเลือกเบอร์เกอร์,⚡ Crunchy Fried Onions,2.000,80,0.000,0,80
Burger Extra Options ตัวเลือกเบอร์เกอร์,🌶️ Jalapenos,3.000,120,0.000,0,120
Burger Extra Options ตัวเลือกเบอร์เกอร์,🐄Animal Style (🛑No Salad 🛑No Tomatos),3.000,0,0.000,0,0
Burger Extra Options ตัวเลือกเบอร์เกอร์,🐯 Crying Tiger Sriracha Mayonnaise,1.000,40,0.000,0,40
Burger Extra Options ตัวเลือกเบอร์เกอร์,🥓 Crispy Bacon,4.000,160,0.000,0,160
Drink Options (Sets),Coke,12.000,0,0.000,0,0
Drink Options (Sets),Coke Zero,2.000,0,0.000,0,0
Drink Options (Sets),Schweppes Manow,1.000,0,0.000,0,0
Drink Options (Sets),Soda Water,1.000,0,0.000,0,0
Drink Options (Sets),Sprite,1.000,0,0.000,0,0
🛑🛑 PLEASE NO 🛑🛑,❌ 🍅 NO TOMATO (ไม่ใส่มะเขือเทศ)❌,1.000,0,0.000,0,0
🛑🛑 PLEASE NO 🛑🛑,❌ 🧀 CHEESE (ไม่ใส่ซีส) ❌,2.000,0,0.000,0,0
🛑🛑 PLEASE NO 🛑🛑,❌NO BURGER SAUCE (ไม่ใส่ซอดเบอร์เกอร์) ❌,1.000,0,0.000,0,0
