Store,POS,Shift number,Shift opening time,Shift opened,Shift closing time,Shift closed,Starting cash,Cash payments,Cash refunds,Paid in,Paid out,Expected cash amount,Actual cash amount,Difference
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),539,7/3/25 6:12 PM,Cashier Night Shift,7/3/25 6:13 PM,Cashier Night Shift,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),538,7/2/25 5:55 PM,Cashier Night Shift,7/3/25 2:21 AM,Cashier Night Shift,2500.00,6889.00,160.00,0.00,2114.00,7115.00,7115.00,0.00
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),537,7/1/25 5:39 PM,Cashier Night Shift,7/2/25 2:07 AM,Cashier Night Shift,2500.00,4700.00,0.00,0.00,2889.00,4311.00,4311.00,0.00
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),536,6/30/25 5:51 PM,Cashier Night Shift,7/1/25 2:05 AM,Cashier Night Shift,2500.00,1816.00,0.00,0.00,2513.00,1803.00,2500.00,697.00
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),535,6/29/25 5:45 PM,Cashier Night Shift,6/30/25 2:14 AM,Cashier Night Shift,2500.00,4446.00,0.00,0.00,2737.00,4209.00,4209.00,0.00
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),534,6/28/25 6:01 PM,Cashier Night Shift,6/29/25 2:25 AM,Cashier Night Shift,2500.00,6547.00,0.00,0.00,3575.00,5472.00,5525.00,53.00
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),533,6/27/25 5:44 PM,Cashier Night Shift,6/28/25 2:05 AM,Cashier Night Shift,2500.00,4145.00,0.00,0.00,2412.00,4233.00,4233.00,0.00
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),532,6/26/25 6:03 PM,Cashier Night Shift,6/27/25 2:04 AM,Cashier Night Shift,2500.00,5127.00,0.00,0.00,2508.00,5119.00,5119.00,0.00
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),531,6/25/25 6:18 PM,Cashier Night Shift,6/26/25 2:05 AM,Cashier Night Shift,2500.00,5301.00,0.00,0.00,3470.00,4331.00,4332.00,1.00
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),530,6/24/25 6:19 PM,Cashier Night Shift,6/25/25 2:07 AM,Cashier Night Shift,2500.00,3312.00,0.00,0.00,2040.00,3772.00,3772.00,0.00
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),529,6/23/25 6:15 PM,Cashier Night Shift,6/24/25 2:22 AM,Cashier Night Shift,2500.00,3741.00,409.00,0.00,2744.00,3088.00,3089.00,1.00
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),528,6/22/25 6:00 PM,Cashier Night Shift,6/23/25 2:11 AM,Cashier Night Shift,2500.00,5329.00,0.00,0.00,2845.00,4984.00,5184.00,200.00
Smash Bros Burgers (Rawai),Smash Brothers - Rawai (Main POS),527,6/21/25 5:57 PM,Cashier Night Shift,6/22/25 2:09 AM,Cashier Night Shift,2500.00,2672.00,0.00,0.00,2807.00,2365.00,2500.00,135.00
