Date,Gross sales,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
6/5/25,14422.00,0.00,53.90,14368.10,5148.11,9219.99,64.17%,0.00
6/4/25,13726.00,0.00,16.00,13710.00,4761.25,8948.75,65.27%,0.00
6/3/25,21341.00,0.00,59.80,21281.20,7430.07,13851.13,65.09%,0.00
6/2/25,15519.00,0.00,127.30,15391.70,5127.15,10264.55,66.69%,0.00
6/1/25,21339.00,0.00,75.90,21263.10,6764.75,14498.35,68.19%,0.00
5/31/25,18547.00,0.00,136.80,18410.20,6168.16,12242.04,66.50%,0.00
5/30/25,16637.00,0.00,0.00,16637.00,5269.49,11367.51,68.33%,0.00
5/29/25,15758.00,160.00,81.00,15517.00,5159.94,10357.06,66.75%,0.00
5/28/25,19567.00,0.00,0.00,19567.00,6128.78,13438.22,68.68%,0.00
5/27/25,17554.00,0.00,70.90,17483.10,5698.06,11785.04,67.41%,0.00
5/26/25,28664.00,220.00,87.80,28356.20,9572.66,18783.54,66.24%,0.00
5/25/25,20772.00,0.00,0.00,20772.00,6669.02,14102.98,67.89%,0.00
5/24/25,25497.00,1336.00,142.80,24018.20,8083.45,15934.75,66.34%,0.00
5/23/25,23411.00,0.00,38.00,23373.00,7312.13,16060.87,68.72%,0.00
5/22/25,30562.00,2852.00,86.00,27624.00,8722.31,18901.69,68.42%,0.00
5/21/25,17609.00,0.00,40.00,17569.00,5939.51,11629.49,66.19%,0.00
5/20/25,24337.00,628.00,48.00,23661.00,7774.82,15886.18,67.14%,0.00
5/19/25,17236.00,440.00,79.00,16717.00,5740.05,10976.95,65.66%,0.00
5/18/25,24063.00,0.00,85.80,23977.20,7503.55,16473.65,68.71%,0.00
5/17/25,27200.00,529.00,123.00,26548.00,9180.12,17367.88,65.42%,0.00
5/16/25,18502.00,0.00,74.90,18427.10,6232.86,12194.24,66.18%,0.00
5/15/25,21804.00,0.00,38.00,21766.00,7510.74,14255.26,65.49%,0.00
5/14/25,19570.00,0.00,56.00,19514.00,6590.60,12923.40,66.23%,0.00
5/13/25,12590.00,0.00,22.00,12568.00,4268.07,8299.93,66.04%,0.00
5/12/25,21658.00,0.00,116.80,21541.20,7393.34,14147.86,65.68%,0.00
5/11/25,21132.00,359.00,41.00,20732.00,6852.76,13879.24,66.95%,0.00
5/10/25,17483.00,0.00,0.00,17483.00,5746.97,11736.03,67.13%,0.00
5/9/25,19038.00,0.00,21.90,19016.10,6538.09,12478.01,65.62%,0.00
5/8/25,17524.00,0.00,52.00,17472.00,5527.09,11944.91,68.37%,0.00
5/7/25,16262.00,99.00,38.00,16125.00,5529.97,10595.03,65.71%,0.00
5/6/25,22362.00,219.00,0.00,22143.00,7298.66,14844.34,67.04%,0.00
5/5/25,23100.00,599.00,214.60,22286.40,7661.57,14624.83,65.62%,0.00
5/4/25,17392.00,0.00,35.00,17357.00,5601.50,11755.50,67.73%,0.00
5/3/25,16296.00,259.00,73.90,15963.10,5570.29,10392.81,65.11%,0.00
5/2/25,21062.00,140.00,0.00,20922.00,7170.91,13751.09,65.73%,0.00
5/1/25,15055.00,170.00,0.00,14885.00,4930.59,9954.41,66.88%,0.00
4/30/25,25373.00,358.00,96.90,24918.10,8532.56,16385.54,65.76%,0.00
4/29/25,18053.00,197.00,37.90,17818.10,5855.79,11962.31,67.14%,0.00
4/28/25,22976.00,896.00,25.90,22054.10,7795.43,14258.67,64.65%,0.00
4/27/25,21283.00,429.00,0.00,20854.00,6728.70,14125.30,67.73%,0.00
4/26/25,20188.00,276.00,24.00,19888.00,5708.05,14179.95,71.30%,0.00
4/25/25,21037.00,0.00,21.90,21015.10,5847.17,15167.93,72.18%,0.00
4/24/25,16738.00,0.00,36.00,16702.00,4104.08,12597.92,75.43%,0.00
4/23/25,22129.00,0.00,24.00,22105.00,6449.17,15655.83,70.82%,0.00
4/22/25,23240.00,1076.00,113.80,22050.20,6561.54,15488.66,70.24%,0.00
4/21/25,24654.00,0.00,96.90,24557.10,3303.77,21253.33,86.55%,0.00
4/20/25,28698.00,0.00,123.00,28575.00,6552.41,22022.59,77.07%,0.00
4/19/25,25002.00,0.00,22.00,24980.00,5460.45,19519.55,78.14%,0.00
4/18/25,20321.00,0.00,333.30,19987.70,3428.25,16559.45,82.85%,0.00
4/17/25,24473.00,0.00,137.80,24335.20,5164.41,19170.79,78.78%,0.00
4/16/25,29367.00,240.00,112.80,29014.20,7656.44,21357.76,73.61%,0.00
4/15/25,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
4/14/25,18047.00,250.00,124.00,17673.00,3546.88,14126.12,79.93%,0.00
4/13/25,34757.00,0.00,41.00,34716.00,7837.56,26878.44,77.42%,0.00
4/12/25,22723.00,0.00,48.90,22674.10,4064.52,18609.58,82.07%,0.00
4/11/25,25020.00,787.00,43.80,24189.20,4898.51,19290.69,79.75%,0.00
4/10/25,20929.00,0.00,0.00,20929.00,3858.91,17070.09,81.56%,0.00
4/9/25,29423.00,640.00,28.00,28755.00,6015.25,22739.75,79.08%,0.00
4/8/25,24641.00,319.00,115.80,24206.20,5287.80,18918.40,78.16%,0.00
4/7/25,25981.00,0.00,0.00,25981.00,6143.75,19837.25,76.35%,0.00
4/6/25,26277.00,0.00,145.70,26131.30,5467.71,20663.59,79.08%,0.00
